"noteWavNames";"notenames";"expected";"expected_notenames";"date";"rownum";"session"
-2;"g'";-2;"g'";"2017-09-21";"20";7
-2;"g'";-2;"g'";"2017-09-21";"21";7
-78;" ";-14;"g";"2017-09-21";"1";8
-38;"G,";-14;"g";"2017-09-21";"2";8
-38;"G,";-14;"g";"2017-09-21";"3";8
-14;"g";-12;"a";"2017-09-21";"4";8
-13;"g#";-12;"a";"2017-09-21";"5";8
-13;"g#";-10;"b";"2017-09-21";"6";8
-13;"g#";-10;"b";"2017-09-21";"7";8
0;"a'";-9;"c'";"2017-09-21";"8";8
-10;"b";-9;"c'";"2017-09-21";"9";8
-10;"b";-9;"c'";"2017-09-21";"10";8
-9;"c'";-7;"d'";"2017-09-21";"11";8
-9;"c'";-7;"d'";"2017-09-21";"12";8
-7;"d'";-7;"d'";"2017-09-21";"13";8
-7;"d'";-5;"e'";"2017-09-21";"14";8
-7;"d'";-5;"e'";"2017-09-21";"15";8
-5;"e'";-5;"e'";"2017-09-21";"16";8
-5;"e'";-3;"f#'";"2017-09-21";"17";8
-5;"e'";-3;"f#'";"2017-09-21";"18";8
-3;"f#'";-3;"f#'";"2017-09-21";"19";8
-3;"f#'";-2;"g'";"2017-09-21";"20";8
-38;"G,";-2;"g'";"2017-09-21";"21";8
-80;" ";-14;"g";"2017-09-21";"1";9
-38;"G,";-14;"g";"2017-09-21";"2";9
-38;"G,";-14;"g";"2017-09-21";"3";9
-38;"G,";-12;"a";"2017-09-21";"4";9
-38;"G,";-12;"a";"2017-09-21";"5";9
-13;"g#";-10;"b";"2017-09-21";"6";9
-13;"g#";-10;"b";"2017-09-21";"7";9
-11;"a#";-9;"c'";"2017-09-21";"8";9
1;"a#'";-9;"c'";"2017-09-21";"9";9
-9;"c'";-9;"c'";"2017-09-21";"10";9
-9;"c'";-7;"d'";"2017-09-21";"11";9
-7;"d'";-7;"d'";"2017-09-21";"12";9
-7;"d'";-7;"d'";"2017-09-21";"13";9
-7;"d'";-5;"e'";"2017-09-21";"14";9
-5;"e'";-5;"e'";"2017-09-21";"15";9
-5;"e'";-5;"e'";"2017-09-21";"16";9
-3;"f#'";-3;"f#'";"2017-09-21";"17";9
